序号,位移响应
314,-4.552820873519386e-09
315,-5.239350503418187e-09
316,-4.856666165597887e-09
317,-3.411209378777987e-09
318,-9.143911928167997e-10
319,2.6174705017003548e-09
320,7.163237014535518e-09
321,1.2697057806825186e-08
322,1.9188501798701423e-08
323,2.660271037318556e-08
324,3.4900571309706356e-08
325,4.403891278099258e-08
326,5.397071644983436e-08
327,6.464534861134813e-08
328,7.600880823989447e-08
329,8.800399071990155e-08
330,1.0057096596561171e-07
331,1.1364726956710964e-07
332,1.271682055392362e-07
333,1.4106715919656506e-07
334,1.5527591863065855e-07
335,1.697250032276458e-07
336,1.843439976326665e-07
337,1.9906188954425552e-07
338,2.138074097068466e-07
339,2.2850937246154857e-07
340,2.4309701521637597e-07
341,2.5750033520517e-07
342,2.716504219213563e-07
343,2.854797836360573e-07
344,2.9892266644283345e-07
345,3.11915364309723e-07
346,3.243965186664791e-07
347,3.3630740610784295e-07
348,3.475922128545062e-07
349,3.5819829467984047e-07
350,3.680764210830791e-07
351,3.771810025687933e-07
352,3.854702999755016e-07
353,3.929066148856432e-07
354,3.9945646024211164e-07
355,4.0509071039357753e-07
356,4.0978472989190776e-07
357,4.135184804684783e-07
358,4.162766057224721e-07
359,4.180484931628703e-07
360,4.1882831335489534e-07
361,4.186150360332113e-07
362,4.1741242315465877e-07
363,4.1522899897457606e-07
364,4.120779973409192e-07
365,4.079772865098879e-07
366,4.029492718934779e-07
367,3.9702077725535476e-07
368,3.9022290497347946e-07
369,3.825908760871181e-07
370,3.7416385094173234e-07
371,3.649847313364791e-07
372,3.550999451659764e-07
373,3.4455921462996425e-07
374,3.334153091609792e-07
375,3.2172378429112497e-07
376,3.0954270774366145e-07
377,2.969323740939386e-07
378,2.839550093958746e-07
379,2.7067446721520866e-07
380,2.5715591754917886e-07
381,2.434655301425877e-07
382,2.2967015373434537e-07
383,2.1583699278420587e-07
384,2.0203328323817893e-07
385,1.8832596889249673e-07
386,1.747813799091987e-07
387,1.614649150228577e-07
388,1.4844072895678284e-07
389,1.357714265383903e-07
390,1.2351776496830263e-07
391,1.1173836565487062e-07
392,1.004894369770219e-07
393,8.9824509282643e-08
394,7.979418336809436e-08
395,7.044589361695845e-08
396,6.182368690273783e-08
397,5.396801828268022e-08
398,4.6915564426241135e-08
399,4.0699055635009656e-08
400,3.534712721930519e-08
401,3.0884190902234926e-08
402,2.7330326824192378e-08
403,2.4701196620528062e-08
404,2.3007977943087608e-08
405,2.225732069207442e-08
406,2.2451325120368882e-08
407,2.3587541866490626e-08
408,2.5658993867337614e-08
409,2.8654219996684396e-08
410,3.255734017134988e-08
411,3.7348141564638575e-08
412,4.3002185465823665e-08
413,4.9490934226408606e-08
414,5.678189763870536e-08
415,6.483879800028655e-08
416,7.36217530297793e-08
417,8.308747571558264e-08
418,9.31894900997597e-08
419,1.0387836192502958e-07
420,1.1510194300365079e-07
421,1.268056281036843e-07
422,1.3893262309061762e-07
423,1.514242230108982e-07
424,1.6422009875918566e-07
425,1.7725859093277172e-07
426,1.9047700944515475e-07
427,2.03811937446184e-07
428,2.1719953807866324e-07
429,2.305758625907885e-07
430,2.4387715832072564e-07
431,2.5704017507298743e-07
432,2.7000246841777466e-07
433,2.827026984618872e-07
434,2.950809226649133e-07
435,3.0707888130622744e-07
436,3.1864027424611044e-07
437,3.2971102766970546e-07
438,3.402395495528931e-07
439,3.5017697264629927e-07
440,3.594773838361177e-07
441,3.6809803880847987e-07
442,3.759995610165022e-07
443,3.8314612402725313e-07
444,3.895056164073541e-07
445,3.9504978839158953e-07
446,3.9975437966818037e-07
447,4.035992277062674e-07
448,4.0656835614610105e-07
449,4.0865004286895563e-07
450,4.0983686746241613e-07
451,4.1012573789609005e-07
452,4.0951789632331684e-07
453,4.0801890402442644e-07
454,4.056386056079435e-07
455,4.023910726848248e-07
456,3.9829452732956624e-07
457,3.933712457379844e-07
458,3.876474425862015e-07
459,3.811531366866399e-07
460,3.7392199862576036e-07
461,3.6599118115305717e-07
462,3.57401133172611e-07
463,3.4819539826485883e-07
464,3.3842039873935065e-07
465,3.281252062860577e-07
466,3.173613003554478e-07
467,3.0618231545395305e-07
468,2.9464377859238175e-07
469,2.828028381693562e-07
470,2.7071798561085907e-07
471,2.584487711184352e-07
472,2.46055514904846e-07
473,2.335990153141067e-07
474,2.211402552356809e-07
475,2.0874010822731325e-07
476,1.9645904576001808e-07
477,1.8435684699009066e-07
478,1.7249231244830714e-07
479,1.609229830147108e-07
480,1.4970486551928667e-07
481,1.3889216627421423e-07
482,1.28537033802799e-07
483,1.1868931198336935e-07
484,1.0939630477390579e-07
485,1.007025536252938e-07
486,9.264962862791808e-08
487,8.527593436810576e-08
488,7.861653139856302e-08
489,7.270297414985194e-08
490,6.756316602957187e-08
491,6.322123237166928e-08
492,5.969741181134675e-08
493,5.7007966571353156e-08
494,5.516511205355224e-08
495,5.417696603623267e-08
496,5.404751768282751e-08
497,5.477661647202194e-08
498,5.6359981063470905e-08
499,5.878922801731855e-08
500,6.205192019079775e-08
501,6.613163454060956e-08
502,7.100804896742236e-08
503,7.665704774787453e-08
504,8.305084501097854e-08
505,9.015812563047363e-08
506,9.794420282183538e-08
507,1.0637119165408243e-07
508,1.1539819761136452e-07
509,1.249815192688903e-07
510,1.3507486408149007e-07
511,1.456295762223097e-07
512,1.5659487535291887e-07
513,1.6791810515625915e-07
514,1.795449904185584e-07
515,1.914199014081266e-07
516,2.0348612426597637e-07
517,2.156861360968463e-07
518,2.279618834291225e-07
519,2.4025506269853837e-07
520,2.5250740140323403e-07
521,2.6466093857724957e-07
522,2.7665830323520917e-07
523,2.884429894533696e-07
524,2.99959626770764e-07
525,3.1115424461923817e-07
